Team,points-per-game,average-scoring-margin,field-goals-made-per-game,field-goals-attempted-per-game,offensive-efficiency,defensive-efficiency,effective-field-goal-pct,true-shooting-percentage,three-point-pct,two-point-pct,free-throw-pct,three-pointers-made-per-game,three-pointers-attempted-per-game,offensive-rebounds-per-game,defensive-rebounds-per-game,total-rebounds-per-game,offensive-rebounding-pct,defensive-rebounding-pct,total-rebounding-percentage,blocks-per-game,steals-per-game,assists-per-game,turnovers-per-game,assist--per--turnover-ratio,win-pct-all-games,win-pct-close-games,possessions-per-game,personal-fouls-per-game,opponent-points-per-game,opponent-average-scoring-margin,opponent-shooting-pct,opponent-effective-field-goal-pct,opponent-three-point-pct,opponent-two-point-pct,opponent-free-throw-pct,opponent-true-shooting-percentage,opponent-assists-per-game,opponent-turnovers-per-game,opponent-assist--per--turnover-ratio
Alabama,90.1,8.9,30.7,64.4,1.182,1.066,56.3,119.8,37.3,56.7,77.2,11.2,29.9,11,25,39.6,33.4,71.3,52.5,4.4,6.9,15.7,11.8,1.332,0.676,0.833,76.2,19.8,81.2,-8.9,43.7,49.6,31.7,50.8,73.8,108,12.8,11.3,1.129
Gonzaga,83.4,13.9,31.4,61.2,1.179,0.983,57,119,36.2,58.3,72.6,6.9,19.2,9.3,25.6,38,31.8,73.6,54.5,3.8,6.6,16.5,9.7,1.698,0.765,0.5,70.7,15.6,69.5,-13.9,41.1,47.3,34.1,45.1,72.3,100.8,12.6,11.1,1.132
Florida,85.6,6.4,29.9,65.3,1.128,1.045,51.8,110.8,34.5,51.8,71.5,7.8,22.6,13,26.4,42.3,36.5,73.8,54.2,5.3,6.7,15.2,11.7,1.3,0.667,0.5,75.8,18.4,79.2,-6.4,43.9,49.2,32.7,49.3,70.8,106.5,11.9,10.8,1.098
Kentucky,89,9.3,32,64.6,1.16,1.039,57.2,120.4,40.9,54.7,77.2,9.9,24.2,8.3,26,37.6,26.1,72.7,50.5,6.3,7.5,17.5,10.7,1.645,0.697,0.4,76.7,17.5,79.7,-9.3,42.9,49.6,33.2,49.4,71.5,106.2,14.5,11.8,1.225
Missouri,72.2,-4,25.2,57.4,1.025,1.082,50.2,109.2,31.9,51.8,79.2,7.3,22.8,7.5,20.4,31,24.1,66.4,45.5,4.8,7.7,12.2,11.6,1.054,0.25,0.143,70.4,20.1,76.2,4,44.5,51.3,34.4,51.2,74.1,111.6,13.3,12.8,1.044
South Dakota,74.3,-7.1,26.7,58.7,1.029,1.128,51.9,110.7,37.6,49.6,75.1,7.6,20.2,7.6,24.2,35.2,24.6,72.4,50.2,1.7,3.6,11.9,12.9,0.92,0.31,0.455,72.2,16.3,81.5,7.1,46.1,53.1,36.2,52.3,73,111.6,14,8.2,1.699
Akron,72,4.8,25.5,56.7,1.051,0.981,51.6,109.8,31.6,54.6,72.4,7.5,23.6,8.2,23.7,35.7,27.1,76.3,52.4,2.9,5.4,12.3,11.4,1.085,0.667,0.5,68.4,17.1,67.1,-4.8,43.4,49,30.7,50.8,69.6,104,11.3,11.1,1.025
Auburn,83.1,14.8,28.9,60.6,1.146,0.942,54.2,116,35.2,55.1,75,8,22.7,9.7,24.7,37.8,31.5,71.4,52.3,6.1,7.4,17.8,10.7,1.663,0.771,0,72.5,19.4,68.3,-14.8,38.6,43.7,30.2,42.9,73.4,98.4,9.6,12.9,0.743
Illinois,83.4,10,29.1,62,1.154,1.015,53.6,114.3,34.9,54.4,73.6,8.3,23.9,11.1,26.3,40.9,34.1,76.1,55.2,3.8,4.4,13.3,10.6,1.259,0.763,0.625,72.3,15.2,73.3,-10,43.2,48,34.1,46.8,72.1,102.3,12.1,8.7,1.39
Cornell,80.4,5.2,29,60.1,1.101,1.031,56.6,118,34.1,61.7,73.3,10,29.3,7.5,23.8,34.5,24.8,70.1,48.8,2.5,8,17.3,12.1,1.426,0.714,0.6,73,18.7,75.2,-5.2,44.3,51.3,33.5,52,64.4,107,14.4,13.1,1.098
