TM_TR,TM_MODEL,TM_KP,TM_NET,TM_ID,CONFERENCE,CONF_TYPE,WIN_25,LOSS_25,SEED_25,REG_SEED_25,REG_CODE_25,REGION_25,VEGAS_25,NET_25,BPI_25,BPI_Rk_25,TR_AdjEff_25,TR_ORk_25,TR_DRk_25,TR_AdjEff_25,TR_OEff_25,TR_DEff_25,WIN_24,LOSS_24,SEED_24,VEGAS_24,WIN_23,LOSS_23,SEED_23,KP_Rank,KP_AdjEM,KP_AdjO_Rk,KP_AdjO,KP_AdjD_Rk,KP_AdjD,KP_SOS_AdjEM,KP_NCSOS_AdjEM,BPI_Rank,BPI_24,PTS/GM,AVG MARGIN,FGM/GM,FGA/GM,OFF EFF,DEF EFF,NET_eFG%,eFG%,TS%,3PT%,2PT%,FT%,3PTM/GM,3PTA/GM,OFF REB/GM,DEF REB/GM,TTL REB/GM,OFF REB%,DEF REB%,TTL REB%,BLKS/GM,STL/GM,AST/GM,TO/GM,AST/TO%,WIN% ALL GM,WIN% CLOSE GM,POSS/GM,PF/GM,OPP PTS/GM,OPP AVG MARGIN,OPP FG%,OPP eFG%,OPP 3PT%,OPP 2PT%,OPP FT%,OPP TS%,OPP AST/GM,OPP TO/GM,OPP AST/TO%,NET AST/TOV RATIO,STOCKS/GM,STOCKS-TOV/GM
Alabama,Alabama,Alabama,Alabama,1104,SEC,MM,24,7,2,E2,E,EAST,,6,19.2,6,,9,155,,1.162,1.032,21,11,4,,29,5,1,6,29.93,4,126.5,30,96.6,32,74.9,,,91.4,10.2,31.2,64.1,1.162,1.032,9.4,57,120,35.6,60.1,71.9,10.6,29.8,10.6,28.4,42.7,32.3,73,53.7,4.5,6.1,17.3,12.7,1.358,0.778,0.667,78.6,18.9,81.2,-10.2,42.3,47.6,30.1,48.8,70.6,102.4,12.8,10.3,1.252,0.11,10.6,-2.1
Kentucky,Kentucky,Kentucky,Kentucky,1246,SEC,MM,20,11,3,MW3,MW,MIDWEST,,14,16.1,17,,13,141,,1.144,1.039,23,9,3,,21,11,6,16,24.26,8,123.8,50,99.5,57,70.9,,,85,7.8,29.7,61.7,1.144,1.039,5.7,55.9,117.9,37.4,55.7,73.2,9.6,25.6,8.5,26.1,38.4,26.5,75.3,52.1,4.1,6.9,17.1,10.9,1.571,0.686,0.6,74.3,17.2,77.2,-7.8,43.5,50.2,30.6,53.6,71.6,106.7,12.8,10.3,1.238,0.33,11.0,0.1
Arizona,Arizona,Arizona,Arizona,1112,B12,P5,21,10,4,E4,E,EAST,,12,18.2,8,,17,209,,1.134,1.007,25,8,2,,28,6,2,14,25.73,12,122.5,31,96.8,33,69.9,,,82.5,9.2,29.1,61.3,1.134,1.007,4.4,53.3,115,33.8,54.7,78,7.2,21.3,10.6,25.8,39.7,34.8,74.8,55,4.4,7.6,16.2,11.4,1.42,0.649,0.286,72.7,16.9,73.3,-9.2,41.9,48.9,34,47.5,71.7,104.4,13.4,11.5,1.162,0.26,12.0,0.6
Wright St,Wright St.,Wright St.,Wright St.,1460,Horz,MM,15,16,,,,,,220,-3.0,178,,68,27,,1.087,1.102,18,14, ,,18,15,0,223,-4.66,112,109.5,245,114.1,315,67.4,,,76.5,-1.1,28.5,58.1,1.087,1.102,3.1,56.3,116.6,38.6,55.3,70,8.5,22,7.6,23.2,33.9,25.7,73.6,50.9,3,5.6,14.9,12.3,1.216,0.419,0.222,70.4,17,77.5,1.1,46.6,53.2,36.7,52.2,70.4,112.3,13.8,9.7,1.417,-0.20,8.6,-3.7
Florida,Florida,Florida,Florida,1196,SEC,MM,27,4,1,W1,W,WEST,,4,20.1,4,,2,269,,1.184,0.961,24,11,7,,16,16,0,2,36.16,1,128.6,9,92.4,10,69.6,,,85.5,16.1,30,63.4,1.184,0.961,9.8,55.2,116,35.7,56.4,72,9.9,27.8,12.5,26.6,41.9,37.8,73.3,55.7,4.5,7.5,15.9,10.9,1.457,0.892,0.6,72.2,17.4,69.4,-16.1,39.9,45.4,29.3,46.2,71.6,98.9,11.2,11.9,0.943,0.51,12.0,1.1
Illinois,Illinois,Illinois,Illinois,1228,B10,P5,21,10,6,MW6,MW,MIDWEST,,17,15.3,23,,28,212,,1.123,1.005,26,8,3,3000,20,12,9,20,23.56,15,121.6,38,98.1,41,71.3,,,83.6,8.8,28.7,63.8,1.123,1.005,5,52.4,112.7,31.3,57.3,76.2,9.4,30.1,11.7,28.1,42.6,35,76.9,56,4.2,4.3,14.9,11.7,1.271,0.629,0.5,74.4,16.2,74.8,-8.8,42.3,47.4,33.6,46.1,70.9,101,12.7,9,1.416,-0.15,8.5,-3.2
Samford,Samford,Samford,Samford,1359,SC,MM,22,10,,,,,,116,2.9,105,,51,138,,1.103,1.040,29,5,13,,21,11,0,116,4.41,76,112.5,170,108.1,206,70.9,,,81.5,4.7,28.7,62.6,1.103,1.04,1.2,54.6,114.4,36.9,53.9,72.1,10.9,29.5,10.5,20.8,35.1,32.1,68.7,50,3.4,9.6,16.1,13.3,1.211,0.645,0.571,73.9,19.8,76.8,-4.7,45.7,53.4,35,54.1,69.9,113.6,15.3,15.5,0.988,0.22,13.0,-0.3
Indiana St,Indiana St.,Indiana St.,Indiana St.,1232,MVC,MM,14,17,,,,,,205,-1.4,149,,108,36,,1.060,1.094,28,6, ,,22,12,0,201,-3.25,122,109,227,112.3,283,72.2,,,79,-2.5,26.6,58,1.06,1.094,0.3,54.6,116.3,35,56.6,75.3,10.2,29,7.5,23.8,34.5,23.8,75,49.8,2,6.5,15.4,14.2,1.082,0.4,0.333,74.5,19.1,81.5,2.5,47.4,54.3,35.9,54.5,71.4,115,13.9,11.5,1.202,-0.12,8.5,-5.7
Gonzaga,Gonzaga,Gonzaga,Gonzaga,1211,WCC,MM,24,8,8,MW8,MW,MIDWEST,,8,17.9,10,,3,272,,1.182,0.956,25,7,5,,28,5,3,9,27.29,9,123.6,27,96.3,29,70.2,,,86.4,16.5,31.7,63.2,1.182,0.956,8.5,56,119.3,35.4,57.5,80.4,7.5,21.2,9.1,25.5,38.3,30.3,76.4,53.8,3,7.5,19.7,9.5,2.066,0.743,0,73.1,16.8,69.9,-16.5,41.4,47.5,30.3,48.9,72.9,102.1,12.3,12.8,0.955,1.11,10.5,1.0
Purdue,Purdue,Purdue,Purdue,1345,B10,P5,26,5,4,MW4,MW,MIDWEST,,19,15.7,21,,10,130,,1.150,1.044,29,4,1,,29,5,1,19,23.84,7,124.2,58,100.4,63,65,,,77.7,7.1,27.5,56.4,1.15,1.044,4.1,56.1,118.2,38.5,55.1,73,8.3,21.5,8.5,21.6,33,30.2,71.6,51.9,1.6,6.5,15.8,10.5,1.505,0.686,0.571,67.6,15.9,70.6,-7.1,45.4,52,31,56.2,71.7,110,14.7,11.7,1.251,0.25,8.1,-2.4
Auburn,Auburn,Auburn,Auburn,1120,SEC,MM,27,4,1,S1,S,SOUTH,,2,22.3,3,,4,251,,1.180,0.978,27,7,4,1800,20,12,9,4,35.05,2,128.4,12,93.4,12,67.6,,,83.8,14.3,29.6,61.6,1.18,0.978,9.4,55.6,117.1,36.6,56.1,73.2,9.2,25.1,10.3,24,37.3,33.4,73.5,52.9,6,6.8,16.3,9.3,1.762,0.857,0.778,71,18.4,69.4,-14.3,41,46.2,29.6,47.2,72.9,101.9,9.6,11.9,0.804,0.96,12.8,3.5
J Madison,James Madison,James Madison,James Madison,1241,SB,MM,16,14,,,,,,158,1.1,122,,91,105,,1.070,1.055,31,3,12,,22,11,0,162,0.09,98,110.4,198,110.3,248,64.8,,,72.3,1,24.9,58,1.07,1.055,-0.2,50.7,108.8,34.3,50,76.4,9,26.2,9.6,21.8,34.5,30.8,72.1,50,3.1,6,11.4,10.6,1.079,0.6,0.6,67.6,16.6,71.3,-1,44.7,50.9,35.5,49.6,71.8,108.6,10.5,10.6,0.994,0.09,9.1,-1.5
Iowa,Iowa,Iowa,Iowa,1234,B10,P5,16,16,,,,,,63,9.4,58,,21,36,,1.132,1.094,18,14, ,,19,13,8,64,12.81,19,119.6,144,106.8,173,69.5,,,82.5,2.8,30.6,62.4,1.132,1.094,2.3,56.7,117.6,38,56.6,70.5,9.7,25.5,7.5,22.1,32,23.4,69.5,46.4,4.2,6.6,18.2,9.8,1.864,0.515,0.4,72.8,15.3,79.7,-2.8,47.7,54.4,34.4,56.2,70.4,113.5,16,12.8,1.246,0.62,10.8,1.0
Florida Atlantic,Florida Atlantic,Florida Atlantic,Fla. Atlantic,1194,Amer,MM,21,10,,,,,,111,4.6,94,,81,105,,1.079,1.055,25,8,8,10000,31,3,9,115,4.45,81,112.3,166,107.9,202,68.7,,,78.1,1.8,27.8,60.1,1.079,1.055,3.3,53.4,112.3,35.1,53.9,70,8.5,24.2,8.8,24.2,36.4,28.3,71.8,50.1,4.4,5.9,15.8,11.5,1.377,0.515,0.556,72.4,17.3,76.4,-1.8,43.4,50.1,37.1,47,74,107.8,13.7,11.2,1.221,0.16,10.3,-1.2
High Point,High Point,High Point,High Point,1219,BSth,MM,14,19,13,MW13,MW,MIDWEST,,82,6.8,75,,5,163,,1.179,1.027,25,8, ,,14,17,0,84,9.3,25,118.5,184,109.1,227,66.4,,,81.2,10.5,28.3,57.6,1.179,1.027,7.2,56.3,119.8,36.6,57.3,76.2,8.3,22.7,9.3,23,35.2,32.2,71.8,52.4,2.6,5.8,12.8,10.3,1.241,0.818,0.6,68.8,18.3,70.7,-10.5,43.2,49.1,32.9,48.9,70.3,105.5,10.6,11,0.961,0.28,8.4,-1.9
BYU,BYU,BYU,BYU,1140,B12,P5,23,8,6,E6,E,EAST,,25,15.1,24,,11,177,,1.146,1.021,23,10,6,6600,19,15,0,24,22.39,11,123,60,100.6,68,67.2,,,81.4,8.9,28.9,60,1.146,1.021,5.6,57,118.5,36.8,58.6,71.3,10.5,28.6,9.4,24.1,37.6,31.9,75.7,54.3,3.1,7.1,17.3,12.1,1.431,0.722,0.667,71.1,16.3,72.6,-8.9,43.1,51.4,35.7,49.6,71.5,108.7,13.4,11.7,1.145,0.29,10.2,-1.9
New Mexico,New Mexico,New Mexico,New Mexico,1307,MWC,MM,25,6,10,S10,S,SOUTH,,42,10.8,48,,115,277,,1.057,0.941,26,9,11,,22,11,0,41,17.32,76,112.5,18,95.2,19,72.7,,,79.3,8.7,28.3,62.4,1.057,0.941,1.6,50.8,108.1,34,50.7,68.6,6.7,19.8,9.8,25.2,39.1,28.8,77.2,52.5,5,8.5,14.4,11.4,1.26,0.765,0.625,75.1,17.6,70.6,-8.7,42.7,49.2,33.8,48.2,66.6,104.3,14.7,14.8,0.992,0.27,13.5,2.1
